# CloudKit contract for the SwiftData models in CadenceStore.schema.
# Columns: CloudKit record type, field name, CloudKit type.
# CD_entityName is generated by SwiftData; relationship fields are included
# because SwiftData mirrors them on the child record.
CD_SetEntry	CD_order	INT64
CD_SetEntry	CD_originDevice	STRING
CD_SetEntry	CD_performedBy	STRING
CD_SetEntry	CD_reps	INT64
CD_SetEntry	CD_rpe	DOUBLE
CD_SetEntry	CD_session	STRING
CD_SetEntry	CD_updatedAt	TIMESTAMP
CD_SetEntry	CD_usesBodyweight	INT64
CD_SetEntry	CD_weight	DOUBLE
CD_TemplateExercise	CD_entityName	STRING
CD_TemplateExercise	CD_exerciseName	STRING
CD_TemplateExercise	CD_id	STRING
CD_TemplateExercise	CD_order	INT64
CD_TemplateExercise	CD_targetReps	INT64
CD_TemplateExercise	CD_targetSets	INT64
CD_TemplateExercise	CD_template	STRING
CD_WorkoutSession	CD_activePartnerIDsData	STRING
CD_WorkoutSession	CD_cooldownSeconds	DOUBLE
CD_WorkoutSession	CD_date	TIMESTAMP
CD_WorkoutSession	CD_deletedAt	TIMESTAMP
CD_WorkoutSession	CD_endedAt	TIMESTAMP
CD_WorkoutSession	CD_enginePlanId	STRING
CD_WorkoutSession	CD_enginePlanJSON	BYTES
CD_WorkoutSession	CD_engineRevisionId	STRING
CD_WorkoutSession	CD_entityName	STRING
CD_WorkoutSession	CD_healthKitWorkoutUUID	STRING
CD_WorkoutSession	CD_id	STRING
CD_WorkoutSession	CD_isLogged	INT64
CD_WorkoutSession	CD_notes	STRING
CD_WorkoutSession	CD_originDevice	STRING
CD_WorkoutSession	CD_planKey	STRING
CD_WorkoutSession	CD_planSessionID	STRING
CD_WorkoutSession	CD_plannedExerciseNamesData	STRING
CD_WorkoutSession	CD_plannedPerformerPrescriptionsData	STRING
CD_WorkoutSession	CD_plannedPrescriptionsData	STRING
CD_WorkoutSession	CD_plannedRepLadderData	STRING
CD_WorkoutSession	CD_prescribedLoadKg	DOUBLE
CD_WorkoutSession	CD_templateName	STRING
CD_WorkoutSession	CD_title	STRING
CD_WorkoutSession	CD_updatedAt	TIMESTAMP
CD_WorkoutSession	CD_warmupSeconds	DOUBLE
